subtitle,sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,street_name,floor,is_floor_under,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,energy_certificate,has_parking,price_m2,total_rooms,m2_per_room
Abrantes,65.0,2,1.0,False,Camino Viejo de Leganés,2,False,False,120000,1846,True,Flat,False,False,False,True,E,False,1964.55,3.0,21.666666666666668
Abrantes,100.0,3,2.0,True,Calle Antonio Romero,3,False,False,269000,2690,True,Flat,False,False,True,True,in process,True,1964.55,5.0,20.0
Abrantes,78.0,3,2.0,True,Avenida de Abrantes,1,False,False,186000,2385,True,Flat,False,False,True,True,E,False,1964.55,5.0,15.6
Abrantes,88.0,3,1.0,False,missing,4,False,False,128500,1460,True,Flat,False,False,True,True,in process,False,1964.55,4.0,22.0
Abrantes,80.0,3,1.0,False,AV OPORTO,3,False,False,178000,2225,True,Flat,False,False,True,True,in process,False,1964.55,4.0,20.0
Abrantes,86.0,3,1.0,True,Avenida de Abrantes,3,False,False,166000,1930,True,Flat,False,False,True,True,in process,False,1964.55,4.0,21.5
Abrantes,72.0,2,1.0,True,Plaza Rendición de Breda,2,False,False,137500,1910,True,Flat,False,False,True,True,G,False,1964.55,3.0,24.0
Abrantes,93.0,3,2.0,True,Camino Viejo de Leganés,1,False,False,165000,1774,True,Flat,False,False,True,True,E,False,1964.55,5.0,18.6
Abrantes,54.0,3,1.0,True,Plaza Conde Benavente,4,False,False,107000,1981,True,Flat,False,False,False,True,F,False,1964.55,4.0,13.5
Abrantes,54.0,3,1.0,False,Plaza Vulcano,4,False,False,107000,1981,True,Flat,False,missing,False,missing,F,False,1964.55,4.0,13.5
Abrantes,88.0,3,1.0,True,Avenida de Abrantes,3,False,False,185000,2102,True,Flat,False,False,True,True,G,True,1964.55,4.0,22.0
Abrantes,65.0,2,1.0,True,Calle de la Hermandad,1,False,False,121600,1871,True,Flat,False,False,False,missing,E,False,1964.55,3.0,21.666666666666668
Abrantes,65.0,1,1.0,True,Calle de Argüeso,0,True,False,118000,1815,True,Flat,False,False,False,True,in process,False,1964.55,2.0,32.5
Abrantes,100.0,3,2.0,False,Calle Antonio Romero,4,False,False,290000,2900,True,Flat,False,False,True,True,E,True,1964.55,5.0,20.0
Abrantes,66.0,3,1.0,True,Avenida de Abrantes,3,False,False,124200,1882,True,Flat,False,missing,missing,missing,G,False,1964.55,4.0,16.5
Abrantes,105.0,3,2.0,False,Avenida de los Poblados,3,False,False,300000,2857,True,Flat,True,False,True,True,F,False,1964.55,5.0,21.0
Abrantes,80.0,3,1.0,True,Via Lusitana,2,False,False,159900,1999,True,Flat,False,False,True,True,in process,False,1964.55,4.0,20.0
Abrantes,99.0,3,2.0,True,"Calle Francisco de Icaza, Madrid",1,False,False,250000,2525,True,Flat,False,False,True,True,in process,False,1964.55,5.0,19.8
Abrantes,90.0,3,2.0,True,Camino Viejo de Leganés,2,False,False,115000,1278,True,Flat,False,False,False,True,in process,False,1964.55,5.0,18.0
Abrantes,75.0,3,1.0,False,Plaza Rendición de Breda,4,False,False,122500,1633,True,Flat,False,False,True,True,not indicated,False,1964.55,4.0,18.75
Abrantes,85.0,3,1.0,True,Avenida de Abrantes,8,False,False,156000,1835,True,Flat,True,False,True,True,in process,False,1964.55,4.0,21.25
Abrantes,68.0,2,2.0,True,Calle Carranque,1,False,False,250000,3676,True,Flat,False,False,True,True,in process,True,1964.55,4.0,17.0
Abrantes,121.0,3,2.0,True,Calle Ontanilla,5,False,False,320000,2645,True,Flat,False,False,True,True,in process,False,1964.55,5.0,24.2
Abrantes,70.0,2,1.0,True,Calle hermandad,1,False,False,121600,1737,True,Flat,True,False,False,False,E,False,1964.55,3.0,23.333333333333332
Abrantes,82.0,3,1.0,True,Calle CARCASTILLO,2,False,False,127000,1549,True,Flat,False,False,True,True,E,False,1964.55,4.0,20.5
Abrantes,70.0,2,1.0,False,Calle Francisco de Icaza,4,False,False,159000,2271,True,Flat,False,False,True,True,in process,False,1964.55,3.0,23.333333333333332
Abrantes,54.0,2,1.0,True,Calle de Argüeso,0,True,False,142000,2630,True,Flat,False,False,False,True,E,False,1964.55,3.0,18.0
Abrantes,57.0,3,1.0,False,Plaza Aguador,0,True,False,85000,1491,True,Flat,False,False,False,True,in process,False,1964.55,4.0,14.25
Abrantes,73.0,3,1.0,False,Via Lusitana,1,False,False,158000,2164,True,Flat,False,False,True,True,E,False,1964.55,4.0,18.25
Abrantes,121.0,4,2.0,False,Calle Ontanilla,5,False,False,375000,3099,True,Flat,False,False,True,True,not indicated,True,1964.55,6.0,20.166666666666668
Abrantes,82.0,2,2.0,True,Calle Antonio Romero,1,False,False,239000,2915,True,Flat,False,False,True,True,in process,True,1964.55,4.0,20.5
Abrantes,59.0,3,1.0,False,Calle de Luis Domingo,0,True,False,130000,2203,True,Flat,True,False,False,True,E,False,1964.55,4.0,14.75
Abrantes,110.0,3,2.0,False,Via lusitana,1,False,False,180000,1636,True,Flat,False,False,True,True,not indicated,False,1964.55,5.0,22.0
Abrantes,77.0,3,1.0,True,Antonio Moreno,3,False,False,135000,1753,True,Flat,False,False,False,True,E,False,1964.55,4.0,19.25
Abrantes,60.0,2,1.0,True,Antonio Moreno,3,False,False,130000,2167,True,Flat,False,False,True,True,in process,False,1964.55,3.0,20.0
Abrantes,65.0,2,1.0,True,Plaza Alcalde Brell,2,False,False,110000,1692,True,Flat,False,False,False,True,E,False,1964.55,3.0,21.666666666666668
Abrantes,65.0,2,1.0,True,Plaza Vulcano,2,False,False,120000,1846,True,Flat,False,False,True,True,E,False,1964.55,3.0,21.666666666666668
